record_time,air_pres,air_temp,water_temp,wind_dir,wind_speed
2014-03-08 07:49:01,1024.3,-0.4,4.7,144.0,2.2
2014-03-08 07:50:01,1024.3,-0.3,4.7,145.0,2.0
2014-03-08 07:51:01,1024.2,-0.4,4.7,145.0,2.1
2014-03-08 07:52:01,1024.2,-0.3,4.7,144.0,2.4
2014-03-08 07:55:01,1024.2,-0.3,4.7,157.0,2.0
2014-03-08 07:56:01,1024.3,-0.3,4.7,156.0,2.0
2014-03-08 07:57:01,1024.3,-0.3,4.7,156.0,1.8
2014-03-08 07:58:01,1024.3,-0.3,4.7,154.0,2.0
2014-03-08 07:59:01,1024.3,-0.3,4.7,159.0,2.0
2014-03-08 08:00:01,1024.3,-0.3,4.7,158.0,2.2
2014-03-08 08:01:01,1024.3,-0.3,4.7,156.0,2.2
2014-03-08 08:02:01,1024.3,-0.4,4.7,154.0,2.4
2014-03-08 08:03:01,1024.3,-0.4,4.7,152.0,2.2
2014-03-08 08:04:01,1024.3,-0.3,4.7,149.0,2.2
2014-03-08 08:05:01,1024.3,-0.3,4.7,138.0,2.1
2014-03-08 08:06:01,1024.3,-0.4,4.7,143.0,2.5
2014-03-08 08:07:01,1024.3,-0.4,4.7,144.0,2.4
2014-03-08 08:08:01,1024.3,-0.4,4.7,141.0,2.0
2014-03-08 08:09:01,1024.3,-0.4,4.6,138.0,2.4
2014-03-08 08:10:01,1024.3,-0.3,4.6,141.0,2.2
2014-03-08 08:11:01,1024.3,-0.3,4.6,138.0,2.2
2014-03-08 08:12:01,1024.3,-0.3,4.6,133.0,2.4
2014-03-08 08:13:01,1024.3,-0.3,4.6,132.0,2.0
2014-03-08 08:14:01,1024.3,-0.3,4.6,140.0,2.4
2014-03-08 08:15:01,1024.3,-0.3,4.6,140.0,2.4
2014-03-08 08:16:01,1024.2,-0.3,4.6,138.0,2.3
2014-03-08 08:17:01,1024.3,-0.2,4.6,136.0,2.4
2014-03-08 08:18:01,1024.2,-0.2,4.6,143.0,2.3
2014-03-08 08:19:01,1024.2,-0.2,4.6,137.0,2.4
2014-03-08 08:20:01,1024.2,-0.2,4.6,132.0,2.6
2014-03-08 08:21:01,1024.2,-0.2,4.6,135.0,2.7
2014-03-08 08:22:01,1024.3,-0.1,4.6,135.0,2.6
2014-03-08 08:23:01,1024.3,0.0,4.6,139.0,2.0
2014-03-08 08:24:01,1024.3,0.0,4.6,144.0,2.2
2014-03-08 08:25:01,1024.3,0.0,4.6,148.0,2.1
2014-03-08 08:26:01,1024.5,0.0,4.6,143.0,2.4
2014-03-08 08:27:01,1024.5,0.0,4.6,143.0,2.1
2014-03-08 08:28:01,1024.3,0.0,4.6,150.0,2.7
2014-03-08 08:29:01,1024.3,0.0,4.6,149.0,2.7
2014-03-08 08:30:01,1024.3,0.0,4.6,147.0,2.8
2014-03-08 08:31:01,1024.3,0.0,4.6,144.0,3.0
2014-03-08 08:32:01,1024.3,0.0,4.6,152.0,3.1
2014-03-08 08:33:01,1024.5,-0.1,4.6,147.0,3.4
2014-03-08 08:34:01,1024.3,-0.1,4.6,148.0,3.1
2014-03-08 08:35:01,1024.3,0.0,4.6,142.0,2.5
2014-03-08 08:36:01,1024.5,0.0,4.6,145.0,2.4
2014-03-08 08:37:01,1024.5,0.1,4.6,144.0,2.3
2014-03-08 08:38:01,1024.5,0.0,4.6,150.0,2.4
2014-03-08 08:39:01,1024.5,0.1,4.6,146.0,2.1
2014-03-08 08:40:01,1024.5,0.1,4.6,146.0,2.0
2014-03-08 08:41:01,1024.5,0.1,4.6,150.0,2.5
2014-03-08 08:42:01,1024.5,0.1,4.6,144.0,2.6
2014-03-08 08:43:01,1024.5,0.1,4.6,148.0,2.1
2014-03-08 08:44:01,1024.5,0.2,4.6,138.0,2.0
2014-03-08 08:45:01,1024.5,0.2,4.6,138.0,2.1
2014-03-08 08:46:01,1024.3,0.1,4.6,140.0,2.5
2014-03-08 08:47:01,1024.3,0.2,4.6,144.0,2.6
2014-03-08 08:48:01,1024.5,0.2,4.6,151.0,2.2
2014-03-08 08:49:01,1024.3,0.2,4.6,148.0,2.0
2014-03-08 08:50:01,1024.5,0.3,4.6,149.0,1.9
2014-03-08 08:51:01,1024.5,0.2,4.6,140.0,2.3
2014-03-08 08:52:01,1024.5,0.2,4.6,147.0,2.3
2014-03-08 08:53:01,1024.3,0.2,4.6,151.0,2.4
2014-03-08 08:54:01,1024.3,0.2,4.6,152.0,2.2
2014-03-08 08:55:01,1024.3,0.2,4.6,154.0,2.0
2014-03-08 08:56:01,1024.3,0.2,4.6,155.0,2.4
2014-03-08 08:57:01,1024.3,0.2,4.6,157.0,2.4
2014-03-08 08:58:01,1024.3,0.3,4.6,152.0,1.9
2014-03-08 08:59:01,1024.2,0.3,4.6,142.0,2.0
2014-03-08 09:00:01,1024.2,0.4,4.6,155.0,1.7
2014-03-08 09:01:01,1024.2,0.4,4.6,143.0,1.7
2014-03-08 09:02:01,1024.2,0.4,4.6,145.0,1.7
2014-03-08 09:03:01,1024.3,0.4,4.6,146.0,1.7
